"internal_id","hierarchical_label"
"IT:ASVe:2180.011.001.001.024","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1839, 1839"
"IT:ASVe:2180.011.001.001.025","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1840, 1840"
"IT:ASVe:2180.011.001.001.026","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1841, 1841"
"IT:ASVe:2180.011.001.001.027","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1842, 1842"
"IT:ASVe:2180.011.001.001.028","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1843, 1843"
"IT:ASVe:2180.011.001.001.029","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1844, 1844"
"IT:ASVe:2180.011.001.001.030","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1845, 1845"
"IT:ASVe:2180.011.001.001.031","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1846, 1846"
"IT:ASVe:2180.011.001.001.032","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1847, 1847"
"IT:ASVe:2180.011.001.001.033","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1848, 1848"
"IT:ASVe:2180.011.001.001.034","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1849, 1849"
"IT:ASVe:2180.011.001.001.035","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1850, 1850"
"IT:ASVe:2180.011.001.001.036","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1851, 1851"
"IT:ASVe:2180.011.001.001.037","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1852, 1852"
"IT:ASVe:2180.011.001.001.038","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1853, 1853"
"IT:ASVe:2180.011.001.001.039","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1854, 1854"
"IT:ASVe:2180.011.001.001.040","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1855, 1855"
"IT:ASVe:2180.011.001.001.041","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1856, 1856"
"IT:ASVe:2180.011.001.001.042","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1857, 1857"
"IT:ASVe:2180.011.001.001.043","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1858, 1858"
"IT:ASVe:2180.011.001.001.044","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1859, 1859"
"IT:ASVe:2180.011.001.001.045","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1860, 1860"
"IT:ASVe:2180.011.001.001.046","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1861, 1861"
"IT:ASVe:2180.011.001.001.047","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1862, 1862"
"IT:ASVe:2180.011.001.001.048","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1863, 1863"
"IT:ASVe:2180.011.001.001.049","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1864, 1864"
"IT:ASVe:2180.011.001.001.050","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1865, 1865"
"IT:ASVe:2180.011.001.001.051","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1866, 1866"
"IT:ASVe:2180.011.001.001.052","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> Anni diversi, 1837 - 1862"
"IT:ASVe:8000.001.003.001","Strumenti di corredo, sec. XIX - sec. XX >> ? >> ? >> Sala studio, sec. XIX - sec. XX"
"IT:ASVe:8000.001.003.002","Strumenti di corredo, sec. XIX - sec. XX >> ? >> ? >> Originali, sec. XIX - sec. XX"
"IT:ASVe:8000.001.001","Strumenti di corredo, sec. XIX - sec. XX >> ? >> Fondi inventariati, sec. XIX - sec. XX"
